Country,isco3c,GDP_percapita_Constan 2010_US_2015,percapita_terrestrial_animal_consumption,per_capita_fish_consumption
Albania,ALB,4524,106,9
Algeria,DZA,4777,56,6
Angola,AGO,3748,64,22
Australia,AUS,55080,258,34
Austria,AUT,47789,247,17
Bahamas,BHS,27520,203,34
Bangladesh,BGD,1002,12,23
Barbados,BRB,15836,160,56
Belarus,BLR,6385,204,24
Belgium,BEL,45503,208,33
Belize,BLZ,4301,117,20
Benin,BEN,1129,37,17
Brazil,BRA,11431,194,12
Brunei,BRN,32873,178,31
Cameroon,CMR,1442,36,25
Canada,CAN,50262,204,27
Chile,CHL,14722,175,22
China,CHN,6500,160,47
Congo - Brazzaville,COG,411,84,33
Côte d’Ivoire,CIV,1464,44,26
Denmark,DNK,49423,190,42
Dominican Republic,DOM,6662,114,11
Ecuador,ECU,5331,134,8
Fiji,FJI,4359,102,53
Finland,FIN,45647,157,47
France,FRA,41794,207,48
Gambia,GMB,755,18,37
Germany,DEU,45321,207,17
Ghana,GHA,1626,41,41
Greece,GRC,22615,171,27
Guyana,GUY,3689,77,35
India,IND,1752,14,6
Indonesia,IDN,3824,35,38
Ireland,IRL,65433,173,28
Israel,ISR,33071,208,25
Italy,ITA,33961,203,37
Jamaica,JAM,4722,125,34
Japan,JPN,47103,135,78
Malaysia,MYS,10912,129,79
Malta,MLT,25898,204,46
Mexico,MEX,10037,166,15
Morocco,MAR,3222,85,19
Netherlands,NLD,51872,188,31
New Zealand,NZL,36792,276,33
Nigeria,NGA,2563,29,22
Norway,NOR,90029,164,57
Peru,PER,6114,64,35
Philippines,PHL,2735,90,46
Portugal,PRT,22018,217,73
Rwanda,RWA,768,15,2
Saudi Arabia,SAU,21399,122,10
Senegal,SEN,1385,35,36
South Africa,ZAF,7557,135,8
South Korea,KOR,26064,148,91
Spain,ESP,30550,217,60
Sri Lanka,LKA,3647,18,40
St. Vincent & Grenadines,VCT,6581,189,26
Sudan,SDN,1826,52,2
Suriname,SUR,8465,99,21
Swaziland,SWZ,4646,49,2
Sweden,SWE,56340,177,36
Switzerland,CHE,76553,175,22
Thailand,THA,5741,83,43
Trinidad & Tobago,TTO,16840,142,26
Tunisia,TUN,4308,68,19
Turkey,TUR,13853,78,11
Ukraine,UKR,2829,143,20
United Arab Emirates,ARE,40248,109,29
United Kingdom,GBR,42017,179,22
United States,USA,52117,242,26
Uruguay,URY,13939,162,9
Venezuela,VEN,12451,170,18