country_name,iso_c3,GDP per capita_Constant 2010 US$ 2015,terrestrial animal consumption,fish consumption,
Albania,ALB,4524.373086,106.004204,8.618,
Algeria,DZA,4777.427336,56.07499498,5.927961,
Angola,AGO,3748.320623,63.80523,21.732287,
Australia,AUS,55079.892,258.3392867,33.560597,
Austria,AUT,47789.385,246.5808753,17.49915,
Bahamas,BHS,27519.848,202.529,34.45885,
Bangladesh,BGD,1002.389,12.19755461,22.7888,
Barbados,BRB,15836.382,159.706007,55.57221,
Belarus,BLR,6384.817145,203.759415,23.706234,
Belgium,BEL,45503.352,208.12837,33.430417,
Belize,BLZ,4300.559,116.76399,20.339677,
Benin,BEN,1128.996,36.5203166,16.85709,
Brazil,BRA,11431.154,193.605926,12.243839,
Brunei,BRN,32873.467,177.96454,31.263065,
Cameroon,CMR,1441.784,35.5255509,25.33698,
Canada,CAN,50262.028,203.6555538,27.224864,
Chile,CHL,14722.366,175.3626203,21.793926,
China,CHN,6500.282,160.3035152,47.04188,
Congo - Brazzaville,COG,411.021,83.88937835,33.152327,
Côte d’Ivoire,CIV,1463.711,44.22113319,26.496407,
Denmark,DNK,49422.869,189.9622812,41.60585,
Dominican Republic,DOM,6661.865,113.737142,10.7211,
Ecuador,ECU,5330.539,134.218922,8.467876,
Fiji,FJI,4359.220,102.11965,52.9265,
Finland,FIN,45647.489,156.7604518,47.110098,
France,FRA,41793.545,206.715797,48.140305,
Gambia,GMB,754.992,17.786952,37.023064,
Germany,DEU,45321.403,206.6972262,16.90602,
Ghana,GHA,1625.906,41.07856362,40.831535,
Greece,GRC,22615.395,170.5362515,26.57469,
Guyana,GUY,3688.692,76.53911,34.7962,
India,IND,1751.664,13.6872297,6.166624,
Indonesia,IDN,3824.275,35.20888527,38.02634,
Ireland,IRL,65432.734,173.27076,27.511907,
Israel,ISR,33071.412,208.2786274,24.57567,
Italy,ITA,33961.436,203.3918744,36.984797,
Jamaica,JAM,4722.047,124.6065148,34.185707,
Japan,JPN,47102.581,134.6961444,78.2295,
Malaysia,MYS,10912.151,128.6966467,78.790737,
Malta,MLT,25897.959,203.5723463,45.5931,
Mexico,MEX,10037.201,166.1177775,15.21865,
Morocco,MAR,3222.054,85.30754547,18.617254,
Netherlands,NLD,51871.577,187.6534875,31.041375,
New Zealand,NZL,36792.445,276.129,33.469256,
Nigeria,NGA,2563.149,29.3215531,21.654021,
Norway,NOR,90029.356,163.5888073,57.085566,
Peru,PER,6114.227,64.0686878,35.4339,
Philippines,PHL,2735.187532,89.63330226,45.839864,
Portugal,PRT,22018.00949,216.9620323,73.086892,
Rwanda,RWA,767.603,15.11054705,2.198644,
Saudi Arabia,SAU,21399.104,121.732852,10.013504,
Senegal,SEN,1384.519,35.24359383,36.150699,
South Africa,ZAF,7556.789,135.17906,8.171519,
South Korea,KOR,26063.70649,147.5300069,90.8892,
Spain,ESP,30549.792,217.0997729,59.5725,
Sri Lanka,LKA,3647.393,17.97621586,39.752914,
St. Vincent & Grenadines,VCT,6580.823,189.262058,25.698107,
Sudan,SDN,1825.722,52.03707285,2.207955,
Suriname,SUR,8464.653,98.606356,20.751514,
Swaziland,SWZ,4645.878,48.5855,1.98328,
Sweden,SWE,56339.994,176.7510186,35.578219,
Switzerland,CHE,76553.282,174.541331,21.52779,
Thailand,THA,5741.354,82.58025749,42.72756,
Trinidad & Tobago,TTO,16840.121,142.216192,26.266507,
Tunisia,TUN,4308.416,68.27457043,18.846921,
Turkey,TUR,13853.097,77.881473,10.592662,
Ukraine,UKR,2828.885069,142.8202508,19.622971,
United Arab Emirates,ARE,40247.747,109.2499601,28.58518,
United Kingdom,GBR,42017.141,178.7100468,22.322094,
United States,USA,52116.739,241.5587865,26.011505,
Uruguay,URY,13938.790,161.9061254,8.617681,
Venezuela,VEN,12450.666,169.892588,18.30079,